ERR3201034	SAMEA4710048
SRR16683847	SAMN22823923
SRR8566824	SAMN10920665
SRR8566790	SAMN10920851
SRR8567236	SAMN10920891
SRR16683508	SAMN22823975
SRR16683506	SAMN22823977
SRR16683505	SAMN22823978
SRR16683504	SAMN22823979
SRR16683503	SAMN22823980
SRR16683501	SAMN22823981
SRR16683500	SAMN22823982
SRR16683497	SAMN22823985
SRR16683724	SAMN22823993
SRR16683720	SAMN22823997
SRR16683707	SAMN22824009
SRR16683703	SAMN22824012
SRR16683673	SAMN22824040
SRR16683670	SAMN22824042
SRR16683667	SAMN22824045
SRR16683664	SAMN22824048
SRR16683655	SAMN22824056
SRR16683646	SAMN22824064
SRR16683604	SAMN22824073
SRR16683602	SAMN22824074
SRR16683601	SAMN22824075
SRR16683600	SAMN22824076
SRR16683598	SAMN22824078
SRR16683597	SAMN22824079
SRR16683596	SAMN22824080
SRR16683594	SAMN22824081
SRR16683592	SAMN22824083
SRR16683589	SAMN22824086
SRR16683586	SAMN22824089
SRR16683585	SAMN22824090
SRR16683551	SAMN22824094
SRR16683550	SAMN22824095
SRR16683548	SAMN22824097
NC_002946	
NZ_CP012026	
NZ_CP012027	
SRR16683530	SAMN22824113
SRR16683529	SAMN22824114
SRR16683527	SAMN22824116
SRR16683493	SAMN22824121
SRR16683489	SAMN22824125
SRR16683482	SAMN22824131
SRR16683480	SAMN22824133
SRR16683469	SAMN22824143
SRR16683463	SAMN22824149
SRR16683459	SAMN22824152
ERR1067881	SAMEA3463058
ERR1067786	SAMEA3463086
ERR1067873	SAMEA3463038
ERR854949	SAMEA3165313
ERR855392	SAMEA3165706
ERR1067806	SAMEA3462862
ERR855041	SAMEA3165382
ERR855045	SAMEA3165386
ERR855051	SAMEA3165392
ERR855043	SAMEA3165384
ERR855360	SAMEA3165660
ERR854921	SAMEA3165270
ERR855268	SAMEA3165620
ERR956688	SAMEA3233711
ERR854905	SAMEA3165247
SRR16683890	SAMN22824172
SRR16683885	SAMN22824177
SRR16683841	SAMN22824216
SRR16683833	SAMN22824223
SRR16683820	SAMN22824235
SRR16683805	SAMN22824249
SRR16683794	SAMN22824259
SRR16683727	SAMN22824319
SRR16683617	SAMN22824342
SRR5827236	SAMN07351014
SRR5827322	SAMN07351241
