"id","fastbaps"
"WHO_E_2024",11
"FDAARGOS_207",11
"GCGS0423",11
"FQ01",8
"WHO_A_2024",8
"GCGS0431",8
"FA1090",6
"WHO_F_2024",6
"9464",2
"9431",2
"9460",2
"10736",2
"10239",2
"10708",2
"10743",2
"10744",2
"10819",2
"UMASS-DGI_5",1
"UMASS-DGI_54",1
"FFF026",10
"GCGS0313",10
"FDAARGOS_204",10
"GCGS0373",10
"FFF047",10
"UMASS-DGI_65",10
"UMASS-DGI_26",10
"TUM15748",10
"AUNG1065",10
"NCTC8375",10
"WHO_S_2024",10
"FA19",10
"WHO_B_2024",10
"FQ20",10
"FQ35",10
"UMASS-DGI_1",10
"10610",10
"10702",10
"10500",10
"9399",10
"10272",10
"9126",10
"10771",10
"10531",10
"10524",10
"10723",10
"9071",10
"10529",10
"10727",10
"10328",10
"10814",10
"10794",10
"10795",10
"10791",10
"10638",10
"10588",10
"10792",10
"10231",10
"9343",10
"10574",10
"10268",10
"10562",10
"UMASS-DGI_36",10
"UMASS-DGI_40",10
"UMASS-DGI_46",9
"FDAARGOS_205",9
"SRR5827322",12
"FFF044",7
"GGG031",7
"TH1713",7
"TH2288",7
"2014E02-242",7
"CCC010",7
"CT602",7
"DDD031",7
"CCC013",7
"CCC033",7
"CT530",7
"CCC012",7
"CCC016",7
"20181204",7
"SE690",7
"CT213",7
"Ng_188",7
"NG250",7
"CT532",7
"FFF038",7
"Ng_118",7
"JJJ025",7
"EEE019",7
"25818_3_234",7
"WHO_beta_2024",7
"SAMEA116302676",7
"SAMEA116302675",7
"CCC020",7
"HHH023",7
"WHO_D_2024",7
"WHO_O_2024",7
"TFG-B2",7
"TFG-A2",7
"FQ36",7
"EEE030",7
"EEE018",7
"EEE023",7
"EEE029",7
"EEE026",7
"JJJ010",7
"FFF024",7
"FQ84",7
"FQ82",7
"FQ04",7
"FFF007",7
"FFF017",7
"NG196",7
"NG251",7
"NG290",7
"WHO_T_2024",7
"GCGS0769",7
"EEE034",5
"1123850",5
"2004S05-027",5
"HHH042",5
"WHO_C_2024",5
"GCGS0245",5
"UMASS-DGI_9",5
"ATCC49226",5
"WHO_I_2024",5
"WHO_L_2024",5
"FA6140",5
"FFF012",5
"SS3160",5
"EEE004",5
"WHO_R_2024",5
"SRRSH240",5
"SRRSH207",5
"SRRSH214",5
"SRRSH203",5
"SRRSH229",5
"SRRSH205",5
"SRRSH204",5
"BJ16148",5
"DDD046",3
"CCC015",3
"CCC014",3
"CCC017",3
"96MB",3
"2018S05-288",3
"2020S05-258",3
"2020N07-265",3
"2020C08-294",3
"DDD001",3
"AUNG1251",3
"EEE014",3
"FFF004",4
"FFF005",4
"1145734",4
"EEE015",4
"DDD034",4
"DDD029",4
"DDD038",4
"JJJ020",4
"2022NG-0032",4
"AUNG1291",4
"10537",4
"10538",4
"10536",4
"9035",4
"9112",4
"10296",4
"WHO_H_2024",4
"1130991",4
"GCGS0834",4
"RIVM0640",4
"1081168",4
"RIVM0610",4
"GCGS0864",4
"FQ48",4
"WHO_Y_2024",4
"2016E02-233",4
"WHO_V_2024",4
"EEE016",4
"EEE020",4
"EEE035",4
"WHO_alpha_2024",4
"WHO_Q_2024",4
"AUSMDU00010541",4
"AT159",4
"EEE013",4
"CCC048",4
"EEE021",4
"HHH030",4
"WHO_N_2024",4
"WHO_G_2024",4
"SRR5827236",4
"GGG022",4
"2010C02-038",4
"CCC028",4
"FQ02",4
"WHO_S2_2024",4
"2022NG-0076",4
"GCGS0276",4
"WHO_P_2024",4
"GCGS0306",4
"WHO_U_2024",4
"WHO_M_2024",4
"GCGS1095",4
"GCGS1014",4
"GCGS0457",4
"GCGS1013",4
"GCGS0339",4
"WHO_J_2024",4
"TUM16691",4
"WHO_K_2024",4
"H035",4
"WHO_W_2024",4
"EEE037",4
"2018C07-301",4
"2020N08-318",4
"WHO_X_2024",4
"WHO_Z_2024",4
